,region,age,contents,year,value
304,Dovre,67-79 years,Living alone,2019,139
305,Dovre,67-79 years,Living with others,2019,287
306,Dovre,80 years or older,Living alone,2019,81
307,Dovre,80 years or older,Living with others,2019,83
308,Lesja,67-79 years,Living alone,2019,94
309,Lesja,67-79 years,Living with others,2019,195
310,Lesja,80 years or older,Living alone,2019,75
311,Lesja,80 years or older,Living with others,2019,56
312,Skjåk,67-79 years,Living alone,2019,98
313,Skjåk,67-79 years,Living with others,2019,274
314,Skjåk,80 years or older,Living alone,2019,69
315,Skjåk,80 years or older,Living with others,2019,67
316,Lom,67-79 years,Living alone,2019,79
317,Lom,67-79 years,Living with others,2019,238
318,Lom,80 years or older,Living alone,2019,74
319,Lom,80 years or older,Living with others,2019,65
320,Vågå,67-79 years,Living alone,2019,155
321,Vågå,67-79 years,Living with others,2019,382
322,Vågå,80 years or older,Living alone,2019,107
323,Vågå,80 years or older,Living with others,2019,94
324,Nord-Fron,67-79 years,Living alone,2019,286
325,Nord-Fron,67-79 years,Living with others,2019,607
326,Nord-Fron,80 years or older,Living alone,2019,180
327,Nord-Fron,80 years or older,Living with others,2019,140
328,Sel,67-79 years,Living alone,2019,230
329,Sel,67-79 years,Living with others,2019,626
330,Sel,80 years or older,Living alone,2019,197
331,Sel,80 years or older,Living with others,2019,156
332,Sør-Fron,67-79 years,Living alone,2019,105
333,Sør-Fron,67-79 years,Living with others,2019,330
334,Sør-Fron,80 years or older,Living alone,2019,96
335,Sør-Fron,80 years or older,Living with others,2019,78
336,Ringebu,67-79 years,Living alone,2019,200
337,Ringebu,67-79 years,Living with others,2019,492
338,Ringebu,80 years or older,Living alone,2019,145
339,Ringebu,80 years or older,Living with others,2019,132
340,Øyer,67-79 years,Living alone,2019,178
341,Øyer,67-79 years,Living with others,2019,473
342,Øyer,80 years or older,Living alone,2019,135
343,Øyer,80 years or older,Living with others,2019,127
344,Gausdal,67-79 years,Living alone,2019,211
345,Gausdal,67-79 years,Living with others,2019,634
346,Gausdal,80 years or older,Living alone,2019,171
347,Gausdal,80 years or older,Living with others,2019,167
348,Østre Toten,67-79 years,Living alone,2019,545
349,Østre Toten,67-79 years,Living with others,2019,1492
350,Østre Toten,80 years or older,Living alone,2019,404
351,Østre Toten,80 years or older,Living with others,2019,367
352,Vestre Toten,67-79 years,Living alone,2019,498
353,Vestre Toten,67-79 years,Living with others,2019,1274
354,Vestre Toten,80 years or older,Living alone,2019,332
355,Vestre Toten,80 years or older,Living with others,2019,324
356,Gran,67-79 years,Living alone,2019,520
357,Gran,67-79 years,Living with others,2019,1296
358,Gran,80 years or older,Living alone,2019,339
359,Gran,80 years or older,Living with others,2019,322
360,Søndre Land,67-79 years,Living alone,2019,274
361,Søndre Land,67-79 years,Living with others,2019,523
362,Søndre Land,80 years or older,Living alone,2019,177
363,Søndre Land,80 years or older,Living with others,2019,116
364,Nordre Land,67-79 years,Living alone,2019,313
365,Nordre Land,67-79 years,Living with others,2019,635
366,Nordre Land,80 years or older,Living alone,2019,187
367,Nordre Land,80 years or older,Living with others,2019,143
368,Sør-Aurdal,67-79 years,Living alone,2019,148
369,Sør-Aurdal,67-79 years,Living with others,2019,340
370,Sør-Aurdal,80 years or older,Living alone,2019,105
371,Sør-Aurdal,80 years or older,Living with others,2019,96
372,Etnedal,67-79 years,Living alone,2019,78
373,Etnedal,67-79 years,Living with others,2019,126
374,Etnedal,80 years or older,Living alone,2019,52
375,Etnedal,80 years or older,Living with others,2019,44
376,Nord-Aurdal,67-79 years,Living alone,2019,308
377,Nord-Aurdal,67-79 years,Living with others,2019,638
378,Nord-Aurdal,80 years or older,Living alone,2019,188
379,Nord-Aurdal,80 years or older,Living with others,2019,162
380,Vestre Slidre,67-79 years,Living alone,2019,105
