Municipality,To,Commuters
Moss,Kvænangen,0
Moss,Vardø,0
Moss,Vadsø,1
Moss,Hammerfest,0
Moss,Kautokeino,0
Moss,Alta,0
Moss,Loppa,0
Moss,Hasvik,0
Moss,Måsøy,0
Moss,Nordkapp,0
Moss,Porsanger,1
Moss,Karasjok,0
Moss,Lebesby,0
Moss,Gamvik,0
Moss,Berlevåg,0
Moss,Tana,0
Moss,Nesseby,0
Moss,Båtsfjord,0
Moss,Sør-varanger,1
Moss,Trondheim,29
Moss,Namsos,0
Moss,Hemne,0
Moss,Frøya,0
Moss,Ørland,0
Moss,Åfjord,1
Moss,Osen,2
Moss,Oppdal,0
Moss,Rennebu,0
Moss,Røros,0
Moss,Holtålen,0
Moss,Midtre_Gauldal,0
Moss,Melhus,5
Moss,Skaun,2
Moss,Malvik,3
Moss,Selbu,0
Moss,Tydal,0
Moss,Meråker,0
Moss,Stjørdal,2
Moss,Frosta,0
Moss,Levanger,0
Moss,Verdal,1
Moss,Snåsa,0
Moss,Lierne,0
Moss,Røyrvik,0
Moss,Namsskogan,0
Moss,Grong,0
Moss,Høylandet,0
Moss,Overhalla,0
Moss,Flatanger,0
Moss,Nærøy,0
Moss,Leka,0
Moss,Inderøy,0
Moss,Indre_Fosen,2
Sarpsborg,Halden,1481
Sarpsborg,Moss,720
Sarpsborg,Sarpsborg,0
Sarpsborg,Fredrikstad,6649
Sarpsborg,Hvaler,220
Sarpsborg,Aremark,38
Sarpsborg,Marker,36
Sarpsborg,Skiptvet,110
Sarpsborg,Rakkestad,413
Sarpsborg,Råde,453
Sarpsborg,Vestby,154
Sarpsborg,Ski,316
Sarpsborg,Ås,70
Sarpsborg,Frogn,39
Sarpsborg,Nesodden,28
Sarpsborg,Bærum,63
Sarpsborg,Asker,33
Sarpsborg,Aurskog-Høland,6
Sarpsborg,Rælingen,5
Sarpsborg,Enebakk,14
Sarpsborg,Lørenskog,16
Sarpsborg,Nittedal,13
Sarpsborg,Gjerdrum,1
Sarpsborg,Ullensaker,24
Sarpsborg,Eidsvoll,8
Sarpsborg,Nannestad,10
Sarpsborg,Hurdal,2
Sarpsborg,Oslo,426
Sarpsborg,Kongsvinger,4
Sarpsborg,Hamar,15
Sarpsborg,Ringsaker,22
Sarpsborg,Løten,1
Sarpsborg,Stange,8
Sarpsborg,Nord-odal,0
Sarpsborg,Sør-odal,5
Sarpsborg,Eidskog,2
Sarpsborg,Grue,1
Sarpsborg,Åsnes,2
Sarpsborg,Elverum,1
Sarpsborg,Trysil,0
Sarpsborg,Åmot,3
Sarpsborg,Stor-Elvdal,0
Sarpsborg,Rendalen,0
Sarpsborg,Engerdal,0
Sarpsborg,Tolga,0
Sarpsborg,Tynset,0
Sarpsborg,Alvdal,0
Sarpsborg,Folldal,1
Sarpsborg,Lillehammer,9
Sarpsborg,Gjøvik,4
Sarpsborg,Dovre,0
Sarpsborg,Lesja,1
Sarpsborg,Skjåk,1
Sarpsborg,Lom,0
